ID,Decoded Sentence,Target Sentence,Accuracy
2020-01-16/027393-027476,"['我', '談', '會', '不', '暴力', '食']","['影響', '這些', '客', '人', '感覺', '急']",0.0
2020-01-18/002908-003094,"['香港', '信', '調查', '短', '一', '入', '入', '低', '低', '三', '曾經', '希望', '希望', '下', '一', '了']","['特別', '甚麼', '地方', '關於', '收入', '但是', '同時', '其實', '支出', '減', '不', '經濟', '下降', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-01-19/020005-020272,"['我', '醫院', '醫院', '<MUMBLE>', '一', '幫', '變', '北', '社', '地方', '計劃', '計劃', '計劃', '內地', '有', '工', '說', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['但是', '政府', '陳', '波', '說', '支出', '繼續', '加', '今', '年', '<X>', '經濟', '退步', '沒', '估', '二', '零', '二', '三', '二', '零', '二', '四', '左右', '月', '月', '十', '九', '支出']",0.0
2020-01-19/032266-032383,"['政府', '負責', '環境', '衞生', '上網', '突然', '人', '超', '外國', '人', '<BAD>']","['天氣', '情況', '現在', '上升', '一', '八', '有', '濕', '百分比', '七', '十']",0.0
2020-01-20/000983-001224,"['今', '北', '名字', '幫', '議員', '議員', '議員', '法', '困難', '二', 'A', '二', '規則', '年', '年', '年', '一', '半', '規則', '<BAD>', '<BAD>', '<BAD>']","['名字', '下', '說', '香港', '長', '立', '國', '安全', '規則', '不', '未來', '某些人', '容易', '入侵', '破壞', '破壞', '<MUMBLE>', '破壞', '一', '國', '兩', '制']",0.0
2020-01-22/002042-002267,"['美國', '變', '說', '政府', 'A', '代表', '代表', '特朗普', '跟', '檢測', '名字', '名字', '爆炸', '爆炸', '機構']","['男', '病', '沙', '佐敦', '醫院', '分開', '治療', '轉', '<BAD>', '送', '另', '名字', '馬', '醫院', '分開']",0.06666666666666667
2020-01-22/007309-007496,"['我', '家', '兩', '安全', '發生', '發生', '安全', '數', '定', '二', '社會', '傳播']","['不能', '限制', '買', '字', '不能', '要', '保護', '口罩', '賣', '<X>', '能', '<BAD>']",0.0
2020-01-25/022956-023151,"['真', '香港', '過程', '<BAD>', '不同', '取消', '活動', '決定', '決定', '決定', '個人', '過程', '名字', '名字', '<STOP>']","['工作', '錢', '加', '或者', '上升', '政府', '答', '要', '包括', '甚麼', '五', '這', '這', '這', '<BAD>']",0.0
2020-01-28/000736-000983,"['重要', '交', '交', '交', '全部', '說', '好像', '國', '一', '日', '', '十', '以前', '一', '千', '飛機', '另', '街', '臺灣', '關閉', '環境']","['國', '衞生', '健康', '委員會', '說', '肺', '炎', '有', '重要', '呼吸', '打噴嚏', '飛沫', '傳染', '或者', '接觸', '傳染', '能', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-01-29/010520-010860,"['真', '星期日', '哪裡', '這', '一', '看', '看', '看', '看', '看', '飛機', '外', '說', '老闆', '二', '說', '老闆', '以前', '說', '一', '<MUMBLE>', '好像', '一', '百', '後', '見面', '見面', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['說', '發燒', '各種', '有否', '日', '十', '四', '內', '有否', '去', '武漢', '曾經', '返', '香港', '人', '比', '以前', '兩', '日', '前', '多', '後', '排隊', '時間', '長', '完', '負責', '海關', '口罩', '有', '護目鏡', '加']",0.0
2020-01-29/026002-026184,"['少', '少', '二', '估', '二', '八', '完', '完', '沒', '來', '計算', '<BAD>', '酒店', '半', '去', '<BAD>', '<BAD>']","['醫生', '組', '覺得', '困難', '決定', '請假', '為何', '批評', '政府', '一直', '處理', '好', '內地', '來', '香港', '危險', '沒']",0.0
2020-01-30/009172-009267,"['美國', '過程', '過程', '哪裡', '人', '訪問', '<BAD>', '<BAD>']","['政府', '現在', '內地', '政府', '合作', '包括', '海', '關']",0.0
2020-01-30/009534-009608,"['香港', '全部', '加', '人', '發現', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['估', '會', '進', '一', '步', '賣', '賣', '賣', '貨', '有']",0.0
2020-01-31/025376-025567,"['但是', 'A', 'A', 'A', 'A', 'A', '學校', '老', '二', '五', '二', '化驗', '看', '用', '停']","['差不多', '日', '半', '<MUMBLE>', '歐洲', '解除合作關係', '<MUMBLE>', '<BAD>', '<BAD>', '<MUMBLE>', '名字', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-01/008425-008565,"['名字', '部分', '提醒', '知道', '負責', '要', '人', '香港', '行', '開會', '<BAD>', '<BAD>', '<BAD>']","['今日', '暫時', '新', '加', '肺', '炎', '沒', '全部', '計算', '有', '十', '三', '仍然']",0.0
2020-02-01/012257-012371,"['前', '有', '三', '十', '海', '有', '雨', '附近', '最', '雷']","['家', '靠', '媽媽', '一', '工作', '收入', '低', '但是', '口罩', '加價']",0.0
2020-02-01/014436-014676,"['感染', '情況', '病', '病', '日本', '<BAD>', '政府', '加', '加', '一', '百', '決定', '時', '未', '有', '一', '控制', '香港', '澳門', '飛機', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['內地', '新', '肺', '炎', '確定', '病', '加', '一', '萬', '一', '千', '八', '百', '全部', '二', '百', '五', '十', '九', '人', '死亡', '<X>', '超', '二', '七', '零', '人', '康復']",0.03571428571428571
2020-02-01/023109-023272,"['可能', '我', '做', '有', '<MUMBLE>', '多', '社', '社', '投票', '投票', '計劃', '計劃', '散播', '跟', '散播', '<BAD>']","['聯署', '<X>', '區域', '議員', '深水埗', '區域', '議員', '估', '最', '快', '星期', '一', '召集', '緊急', '開會', '談']",0.0
2020-02-01/028700-028839,"['香港', '看', '這', '一', '繼續', '長', '屋', '兩', '個', '一', '千', '大約', '一', '千', '香港', '控告']","['歲', '二', '十', '英國', '年輕', '名字', 'O', '說', '脫離', '歐洲', '英國', '會', '自', '權', '能', '<BAD>']",0.0
2020-02-02/031155-031350,"['全部', '人', '剛剛', '一', '地方', '一', '組', '華', '估', '負責', '真', '要', '上升', '人', '桌', '第', '<MUMBLE>', '可能', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['真', '報紙', '著名', '嚇', '有關', '多', '勝過', '林', '有', '錯失', '比', '勝過', '加', '變', '上升', '第', '三', '有', '<MUMBLE>', '有', '<MUMBLE>', '喜歡']",0.045454545454545456
