sequence,score
警察 屋 有權力的人 名字 強 到 中 西 區域 開會 <X> 多 要 懲罰 <X> 關於 要 警察 工作 方法,2.9332675338801244
林 月 說 一 國 兩 制 穩定 未來 依然 年 二 零 四 七 之後 變 不 呼籲 年輕人 珍惜,2.65869081713484
內地 美國 協議 第 一 經濟 階段 內地 承諾 未來 年 二 購買 二 千 億 美國 錢 內地 美國 貨物 和 服務 美國 減 稅 低,4.6395150318555745
內地 代表 到 副 有權力的人 名字 劉 其實 二 國 國 幫 世界 有 獲利 其實 美國 開始 完 接下來 傾談 事情,4.111418772004486
內地 美國 二 國 國 經濟 爭執 繼續 <STOP> 有 減,1.4403158160617313
美國 政府 有權力的人 特朗普 有 副 有權力的人 名字 劉 上 星期 三 白 屋 協議 第 一 期 階段 經濟 關於,3.2521948315819924
劉 轉 告訴 政府 有權力的人 政府 有權力的人 名字 習 關於 國 二 國 國 獲利 獲利 關於 內地 美國 新 年 一,3.6449257029864195
二 國 國 人民 加 多 獲利,0.9197329078650928
另 二 千 五 百 億 美國 錢 內地 貨 稅 依然 二 五 百分比,1.284193938884186
説 協議 內容 其實 關於 員工 公司 沒 對 內地 利用 經濟 員工 壞心腸 害怕 習 主 有權力的人 他 後面 笑,4.45863695612044
美國 專家 懷疑 協議 可能 看到 內地 滿足 給 配合 美國 要求 不能 承諾 變 估 第 二 過程 傾談 會 困難,5.141021311594352
人 新聞 說 多 專家 專家 感覺 看 平等 互動 雙贏 有 獲利 獲利 雙贏 規則 重要,4.7710242862603
林 月 到 主 人 示威 有 答問 會 多 團體 團體 留意 香港 一 國 兩 制 情況 年輕人 擔心 年 二 零 四 七 之後 香港 依然 有 一 國 兩 制 是不是,4.085612264038241
時光飛逝 多 年輕人 其實 香港 給 內地 之後 出生,2.452834284432651
你 國 兩 制 臺灣 全世界 看 笑,0.7424448317418539
一般 説 香港 全部 信任 重新 建立 賣 警察 電 槍 電 槍 會 死亡 容易 關於 林 月 説 重新 建立 警察 衝突 暴力 視而不見,5.397637864019247
現在 發生 身份 <BAD> 政府 有權力的人 要 負責 要,1.6168385966870165
繼續 堅持 處理,0.9199705593295209
現在 時間 想 承擔 重要 甚麼 要 一 步 一 步 <BAD> 處理 解決,2.1795066952570328
問答 超 十 人 主 議員 其實 梁 彥 説 其實 行爲 有問題 驅離 工 聯 六 責罵 人 主 團體 <BAD> 驅離,3.887397317277463
政府 有權力的人 林 月 說 完 十 計劃 說 時間 表 估 完,1.0020843781060367
負責 幫 老人家 基本 其實 一 百 億 十 計劃 星期 二 說 問答 勞工 團體 議員 批評 遲,3.613856450759744
如果 政府 有權力的人 早 答 答 答 市民 希望 估 怨氣 減少,2.2711700353287103
現在 全部 計劃 現在 政府 定下 表 時間 有沒有 給我 我們 看 真 有 能力 決定 下,3.5824354267652927
十 計劃 列表 全部 有 估 時間 甚麼 推廣 能,2.0786383852503487
收入 少 代替 付款 強 金 要 配合 規則 一定 要 電 上網 強 金 開始 能 推廣,3.2379436911564645
有 部分 計劃 要 好像 何 議員 告訴我 一 樣 人面對面坐 傾談 要,2.479614743552871
有 經濟 議員 要 關於 反對 修改 法 安排 影響 租 出糧 要 幫 破壞 公司 店舖 示威 經濟 不行 經常 早 關門 落閘,5.441536498184058
政府 有權力的人 奇怪 想 直接 幫 例如 開始 幫 店舖 或者 公司 幫 付款 三 個 月 租金 幫 出糧 三 個 月 負責,4.222322414830104
但是 過程 要 小心 評估 建議 <X> 全部 建議 收集 考慮,2.820246626521646
最 好 解決 方法 甚麼 我們 合作 努力 <BAD> 全部 衝突 活動 停 香港 重複 平 靜 經濟 公司 重複 經濟 活動 能,4.646913201642697
警察 再 去 上水 湖 其實 河 村 研究 這 農田 下面 藥 爆 拘捕 女 屋 三 人,2.411550402008572
日本 發現 第 一 次 傳染 新 冠狀 病 毒 <X> 哪裏來 內地 曾經 去 武漢,2.5874203588606313
警察 星期 二 旺角 菜 街 <BAD> 屋 房 研究 其實 水 管 金屬 其實 爆炸 上水 河 村 懷疑 下面 實驗 房 拘捕 年齡 二 九,4.659176479603251
中午 帶 懷疑 去 村 調查 有 命令 警察 狗 調查 農田 調查 下面 有 包蓋 膠 袋 包蓋 左右 一 百 克 黃色 粉 懷疑 爆炸 粉,5.4898128373363235
反對 修改 法 活動 其實 嚴重 破壞 九龍 糖 又一城 其實 商場 關閉 兩 個 月 早上 開 保護 工作 看到,4.768836478178591
商場 內 有 部分 店舖 靚 張貼,1.4485339592400805
張開長方形 貼長方形 紙 部分 店舖 開 開 集中 美 心 公司 在下位的 星巴克 有 噴漆 招牌 維修 完 溜冰 負責 忙 清理,4.714096320040062
機場 現在 興建 人 天橋 關於 一 <X> 北 衛星 地方 <X> 估 年 中間 開始 能 去 北 <BAD> 節省 一 半 時間,3.73292345998454
重要 飛機 國 泰 港 龍 <BAD> 北 星星 關於 一 去 要 旅遊巴 差不多 二 十 分鐘 至 三 十 分鐘,2.747668032938767
之後 行 天橋 <X> 十 分鐘 能 到 大家 試過 用 這,1.8108726321100794
可能 之後 知道 要 到 換 旅遊巴 旅遊巴到 這 地方 客人,2.4741143208308003
如果 飛機 飛機滑行 旅遊巴 全部 要 讓 飛機,2.0151552953307044
飛機 估 橋 開始 完 年 一 減 十 萬 旅遊巴 旅遊巴來去 減 全部 壓力,2.07991788082709
現在 說 完 病 菌 毒 有 限制 限制 人 傳染 人 有 機會 會,1.5281528068574257
現在 不能 十全十美 一定 証實 人 傳染 人,2.0111989201831197
多 雲 風 東 晚上 變 涼 暴力 風 北 換 差不多 涼 有 部分 下雨 最 低 溫度 十 六 左右 新 界 溫度 下降 十 五 十 四 左右,3.587709369963334
港鐵 屯 馬 線 去 大 圍 去 飛機 德 二 月 中 開始 <BAD> 開始 通車 因爲 入 <X> 大人 八達通 減 一 元 能 <X> 變 全部 通車 取消,3.58561444135638
警察 男 屋 內 調查 懷疑 槍 <X> 子彈 其實 估 十 一 月 發現 槍 發生 發生 發生 有 關於,3.311530859469209
武漢 新 加 一 冠狀 病 毒 死亡 情況 不知道 有沒有 去 華 南 海 街 或者 其他 人 有沒有 不知道,3.183882783299308
知道 二 月 十 四 日 好 節日,0.681421370103907
屯 馬 線 第 一 期 開始 完 馬 山 名字 顯徑 因爲 直接 去 鑽石 山 轉 觀塘 線 一定 去 轉 大 圍 轉 九龍 不一定,3.4471591233014176
其實 等 紅磡 裝修 裝修 完成 屯 馬 <MUMBLE> 舊 德 <BAD> 紅磡 開始 通車 變 紅磡 裝修 工程 裝修 現在 進行 急,5.4047742727261845
跟隨 現在 資料 大 圍 到 紅磡 段 年 估 二 零 二 一 尾 或者 以前 港鐵 公司 全部 有 團體 努力 進行 工作,3.9741330018966337
警察 沙 田 廣 村 拘捕 年齡 二 七 男 屋 內 研究 槍 有 子彈 估 關於 十 一 月 研究 多 槍 爆炸 關於,2.858341170841163
以前 調查 槍 貨物 方法 甚麼 關於 <BAD> 其實 信 寄 例如 貨物 爛 車 好 甚麼,2.9404023240735677
研究 比較 困難 零件 分開 分開 分開 困難 題目,3.0344136815203586
有 一 人 或者 幾 人 全部 組裝 完成 完 給 思想 極端 團體 他們 用,2.8636516112739234
組裝 多少 槍 要 研究 看 看,1.2704834427156932
但是 例如 配合 配合 子彈 各種 貨運 偷偷地 香港 其實 想 用 這 犯規 香港 法 規則,4.013201671358193
八 通宵 屯門 張貼 政治 宣傳 拘捕 包括 一 休息 放假 警察 反對 修改 規則 七 月 內 第 一 次 有 警察 關於 發生 事情 拘捕,5.835277684634364
<MUMBLE> 召集 開會 要 請 請 另 另 部門 部門 部門 要 加 強 <BAD> 其實 衞生 留意 <MUMBLE> 衞生 屋 全部 香港 出入 有 額探 溫度,4.338248219862936
